#VARIABLE,SUBVAR,NAME,SHORTNAME,COMMENT,MAXIMUM,MINIMUM,ACCURACY,ELECCHARGE,MOLAREQUIV,CASREF,MEASMETHOD,MAPVAR,VARTRACE,CATEGORY1,CATEGORY2,DBVER22,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
3528,0,Benthiocarb    28249-77-6,Benthiocarb    28249-77-6 (Micrograms/Li,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3529,0,Carbaryl             63-25-2,Carbaryl             63-25-2 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3701,0,Total Pyrethroids,Total Pyrethroids (Milligrams/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3702,0,Total Pyrethroids,Total Pyrethroids (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3721,0,Alphamethrin        ???,Alphamethrin        ??? (Micrograms/Litr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3722,0,Deltamethrin   ???52918-63-5,Deltamethrin   ???52918-63-5 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3723,0,Lambdacyhalothrin        ???,Lambdacyhalothrin        ??? (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3724,0,Fenvalerate            51630-58-1,Fenvalerate            51630-58-1 (Micro,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3725,0,Cypermethrin            52315-07-8,Cypermethrin            52315-07-8 (Micr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3726,0,Fluvalinate            69409-94-5,Fluvalinate            69409-94-5 (Micro,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3922,0,Omite (propargite)  2312-35-8,Omite (propargite)  2312-35-8 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3923,0,Oxyfluorfen              42874-03-3,Oxyfluorfen              42874-03-3 (Mic,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3924,0,Baythroid                 68359-37-5,Baythroid                 68359-37-5 (Mi,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3925,0,Permethrin               52645-53-1,Permethrin               52645-53-1 (Mic,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
3926,0,Dicofol (Kelthane)     115-32-2,Dicofol (Kelthane)     115-32-2 (Microgr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4001,0,Total triazines,Total triazines (Milligrams/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4002,0,Total triazines,Total triazines (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4021,0,Simazine   122-34-9,Simazine   122-34-9 (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4022,0,Propazine  139-40-2,Propazine  139-40-2 (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4023,0,Prometon   1610-18-0,Prometon   1610-18-0 (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4024,0,Atrazine   1912-24-9,Atrazine   1912-24-9 (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4025,0,Prometryne   7287-19-6,Prometryne   7287-19-6 (Micrograms/Litre,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4201,0,Total phenyl ureas,Total phenyl ureas (Milligrams/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4202,0,Total phenyl ureas,Total phenyl ureas (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4221,0,Fluometuron      2164-17-2,Fluometuron      2164-17-2 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4222,0,Diuron           330-54-1,Diuron           330-54-1 (Micrograms/Li,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4223,0,Linuron           330-55-2,Linuron           330-55-2 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4401,0,Total benzoic acid type herbicides,Total benzoic acid type herbicides (Mill,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4402,0,Total benzoic acid type herbicides,Total benzoic acid type herbicides (Micr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4403,0,2\0444-D and 2\0444\0445-T,2\0444-D and 2\0444\0445-T (Milligrams/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4404,0,2\0444-D and 2\0444\0445-T,2\0444-D and 2\0444\0445-T (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4421,0,Mecoprop           93-65-2,Mecoprop           93-65-2 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4422,0,4-chloro-o-Tolyloxyacetic acid (MCPA),4-chloro-o-Tolyloxyacetic acid (MCPA) (M,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4423,0,2\0444-D               94-75-7,2\0444-D               94-75-7 (Micrograms/,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4424,0,Dicamba             1918-00-9,Dicamba             1918-00-9 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4425,0,2\0444\0445-T             93-76-5,2\0444\0445-T             93-76-5 (Micrograms/,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4426,0,2\0444\0445-TP (Silvex)      93-72-1,2\0444\0445-TP (Silvex)      93-72-1 (Microgra,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4601,0,Total dipyridyls milligrams/litre,Total dipyridylsmilligrams/litre (Millig,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4602,0,Total dipyridyls micrograms/litre,otal dipyridylsmicrograms/litre (Microgr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4621,0,S\044S\044S-Tributylphosphortrithioate(Degreen),S\044S\044S-Tributylphosphortrithioate(Degreen,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4622,0,Paraquat            1910-42-5,Paraquat            1910-42-5 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4623,0,Glyphosate         1071-83-6,Glyphosate         1071-83-6 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4624,0,DSMA                144-21-8,DSMA                144-21-8 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4625,0,Endothal            145-73-3,Endothal            145-73-3 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4626,0,Trifluralin        1582-09-8,Trifluralin        1582-09-8 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4627,0,Benefin             1861-40-1,Benefin             1861-40-1 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4628,0,Oxyfluorfen           42874-03-3,Oxyfluorfen           42874-03-3 (Microg,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4629,0,Aminotriazole        61-82-5,Aminotriazole        61-82-5 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4630,0,Diquat Dibromide   6385-62-2,Diquat Dibromide   6385-62-2 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4631,0,Trichloroacetic Acid   76-03-9,Trichloroacetic Acid   76-03-9 (Microgra,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4632,0,Thidiazuron           51707-55-2,Thidiazuron           51707-55-2 (Microg,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4633,0,Fluazifop-P-butyl      79241-46-6,Fluazifop-P-butyl      79241-46-6 (Micro,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4634,0,Bromacil           314-40-9,Bromacil           314-40-9 (Micrograms/,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4635,0,Butachlor          23184-66-9,Butachlor          23184-66-9 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4636,0,Pendimethalin      40487-42-1,Pendimethalin      40487-42-1 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4637,0,Metolachlor         51218-45-2,Metolachlor         51218-45-2 (Microgra,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4638,0,Haloxyfop       ???,Haloxyfop       ??? (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4639,0,Dimethipin      ???,Dimethipin      ??? (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4640,0,Molinate           2212-67-1,Molinate           2212-67-1 (),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4821,0,Chlorothalonil      1897-45-6,Chlorothalonil      1897-45-6 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4822,0,Chloranil           118-75-2,Chloranil           118-75-2 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4823,0,Iprodione       36734-19-7,Iprodione       36734-19-7 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4824,0,Maneb           12427-38-2,Maneb           12427-38-2 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4825,0,Zineb           12122-67-7,Zineb           12122-67-7 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4826,0,Thiram          137-26-8,Thiram          137-26-8 (Micrograms/Lit,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4827,0,Benomyl         17804-35-2,Benomyl         17804-35-2 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4828,0,Captan          133-06-2,Captan          133-06-2 (Micrograms/Lit,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
4829,0,Baytan          55219-65-3,Baytan          55219-65-3 (Micrograms/L,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5001,0,Total Chlorophenol,Total Chlorophenol (Milligrams/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5002,0,Total Chlorophenol,Total Chlorophenol (Micrograms/Litre),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5021,0,Phenol                   108-95-2,Phenol                   108-95-2 (Micro,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5022,0,2\0444-Dimethylphenol    105-67-9,2\0444-Dimethylphenol    105-67-9 (Microgra,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5023,0,4-Chloro-3-Methylphenol 59-50-7,4-Chloro-3-Methylphenol 59-50-7 (Microgr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5024,0,2-Chlorophenol             95-57-8,2-Chlorophenol             95-57-8 (Micr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5025,0,2\0444-Dichlorophenol  120-83-2,2\0444-Dichlorophenol  120-83-2 (Micrograms,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5026,0,2\0446-Dichlorophenol  87-65-0,2\0446-Dichlorophenol  87-65-0 (Micrograms/,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5027,0,2-Fluorophenol           367-12-4,2-Fluorophenol           367-12-4 (Micro,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5028,0,2-Nitrophenol              88-75-5,2-Nitrophenol              88-75-5 (Micr,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5029,0,4-Nitrophenol              554-84-7,4-Nitrophenol              554-84-7 (Mic,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5030,0,2\0444-Dinitrophenol         51-28-5,2\0444-Dinitrophenol         51-28-5 (Micro,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
5031,0,2\0444\0446-Trichlorophenol 88-06-2,2\0444\0446-Trichlorophenol 88-06-2 (Microgram,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
